DATE,RHORUSQ156N
1/1/2012,65.4
4/1/2012,65.5
7/1/2012,65.5
10/1/2012,65.4
1/1/2013,65
4/1/2013,65
7/1/2013,65.3
10/1/2013,65.2
1/1/2014,64.8
4/1/2014,64.7
7/1/2014,64.4
10/1/2014,64
1/1/2015,63.7
4/1/2015,63.4
7/1/2015,63.7
10/1/2015,63.8
1/1/2016,63.5
4/1/2016,62.9
7/1/2016,63.5
10/1/2016,63.7
1/1/2017,63.6
4/1/2017,63.7
7/1/2017,63.9
10/1/2017,64.2
1/1/2018,64.2
4/1/2018,64.3
7/1/2018,64.4
10/1/2018,64.8
1/1/2019,64.2
4/1/2019,64.1
7/1/2019,64.8
10/1/2019,65.1
1/1/2020,65.3
4/1/2020,67.9
7/1/2020,67.4
10/1/2020,65.8
1/1/2021,65.6
4/1/2021,65.4
7/1/2021,65.4
10/1/2021,65.5
1/1/2022,65.4
