,ZIP,CensusTract,SizeRank,State,City,CountyName,12/31/2015,12/31/2019
0,90001,6037239501,2973,CA,Florence-Graham,Los Angeles County,299803.0,417707.0
1,90001,6037535300,2973,CA,Florence-Graham,Los Angeles County,299803.0,417707.0
2,90001,6037532900,2973,CA,Florence-Graham,Los Angeles County,299803.0,417707.0
3,90001,6037535001,2973,CA,Florence-Graham,Los Angeles County,299803.0,417707.0
4,90001,6037533001,2973,CA,Florence-Graham,Los Angeles County,299803.0,417707.0
5,90001,6037532800,2973,CA,Florence-Graham,Los Angeles County,299803.0,417707.0
6,90001,6037239202,2973,CA,Florence-Graham,Los Angeles County,299803.0,417707.0
7,90001,6037534900,2973,CA,Florence-Graham,Los Angeles County,299803.0,417707.0
8,90001,6037533002,2973,CA,Florence-Graham,Los Angeles County,299803.0,417707.0
9,90001,6037239330,2973,CA,Florence-Graham,Los Angeles County,299803.0,417707.0
10,90001,6037240010,2973,CA,Florence-Graham,Los Angeles County,299803.0,417707.0
11,90001,6037535102,2973,CA,Florence-Graham,Los Angeles County,299803.0,417707.0
12,90001,6037239801,2973,CA,Florence-Graham,Los Angeles County,299803.0,417707.0
13,90001,6037532700,2973,CA,Florence-Graham,Los Angeles County,299803.0,417707.0
14,90001,6037239502,2973,CA,Florence-Graham,Los Angeles County,299803.0,417707.0
15,90001,6037239802,2973,CA,Florence-Graham,Los Angeles County,299803.0,417707.0
16,90001,6037535101,2973,CA,Florence-Graham,Los Angeles County,299803.0,417707.0
17,90001,6037535002,2973,CA,Florence-Graham,Los Angeles County,299803.0,417707.0
18,90002,6037535200,3503,CA,Los Angeles,Los Angeles County,295485.0,413242.0
19,90002,6037540300,3503,CA,Los Angeles,Los Angeles County,295485.0,413242.0
20,90002,6037535300,3503,CA,Los Angeles,Los Angeles County,295485.0,413242.0
21,90002,6037535400,3503,CA,Los Angeles,Los Angeles County,295485.0,413242.0
22,90002,6037240700,3503,CA,Los Angeles,Los Angeles County,295485.0,413242.0
23,90002,6037242700,3503,CA,Los Angeles,Los Angeles County,295485.0,413242.0
24,90002,6037243000,3503,CA,Los Angeles,Los Angeles County,295485.0,413242.0
25,90002,6037535102,3503,CA,Los Angeles,Los Angeles County,295485.0,413242.0
26,90002,6037242100,3503,CA,Los Angeles,Los Angeles County,295485.0,413242.0
27,90002,6037240020,3503,CA,Los Angeles,Los Angeles County,295485.0,413242.0
28,90002,6037240800,3503,CA,Los Angeles,Los Angeles County,295485.0,413242.0
29,90002,6037242000,3503,CA,Los Angeles,Los Angeles County,295485.0,413242.0
30,90002,6037242600,3503,CA,Los Angeles,Los Angeles County,295485.0,413242.0
31,90002,6037240010,3503,CA,Los Angeles,Los Angeles County,295485.0,413242.0
32,90002,6037242300,3503,CA,Los Angeles,Los Angeles County,295485.0,413242.0
33,90002,6037242200,3503,CA,Los Angeles,Los Angeles County,295485.0,413242.0
34,90003,6037238320,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
35,90003,6037238310,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
36,90003,6037239801,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
37,90003,6037239330,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
38,90003,6037240010,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
39,90003,6037239320,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
40,90003,6037240600,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
41,90003,6037232700,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
42,90003,6037240900,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
43,90003,6037239601,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
44,90003,6037240402,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
45,90003,6037239501,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
46,90003,6037241201,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
47,90003,6037237720,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
48,90003,6037237600,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
49,90003,6037239201,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
50,90003,6037237710,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
51,90003,6037240401,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
52,90003,6037239310,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
53,90003,6037240500,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
54,90003,6037239202,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
55,90003,6037240800,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
56,90003,6037239701,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
57,90003,6037241110,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
58,90003,6037239602,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
59,90003,6037241120,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
60,90003,6037237102,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
61,90003,6037239802,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
62,90003,6037240020,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
63,90003,6037239502,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
64,90003,6037240700,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
65,90003,6037240200,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
66,90003,6037239702,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
67,90003,6037240300,1329,CA,Los Angeles,Los Angeles County,307782.0,430013.0
68,90004,6037195903,255,CA,Los Angeles,Los Angeles County,1070228.0,1328261.0
69,90004,6037192700,255,CA,Los Angeles,Los Angeles County,1070228.0,1328261.0
