,ZIP,CensusTract,SizeRank,RegionName,State,City,CountyName,12/31/2015,12/31/2019
0,96107,6051000102,22,90250,CA,Hawthorne,Los Angeles County,517432.0,672395.0
1,96027,6093000800,44,90046,CA,Los Angeles,Los Angeles County,1267039.0,1474294.0
2,96027,6093000600,44,90046,CA,Los Angeles,Los Angeles County,1267039.0,1474294.0
3,97711,41031960100,88,94501,CA,Alameda,Alameda County,860008.0,1063497.0
4,96015,6049000300,99,90034,CA,Los Angeles,Los Angeles County,1006847.0,1365873.0
5,98325,53031950300,103,95630,CA,Folsom,Sacramento County,472339.0,580734.0
6,98325,53031950500,103,95630,CA,Folsom,Sacramento County,472339.0,580734.0
7,98325,53031950400,103,95630,CA,Folsom,Sacramento County,472339.0,580734.0
8,96025,6089012500,115,90044,CA,Los Angeles,Los Angeles County,338753.0,469508.0
9,96025,6093001100,115,90044,CA,Los Angeles,Los Angeles County,338753.0,469508.0
10,96007,6089012603,136,90026,CA,Los Angeles,Los Angeles County,727081.0,959079.0
11,96007,6089012200,136,90026,CA,Los Angeles,Los Angeles County,727081.0,959079.0
12,96007,6089011900,136,90026,CA,Los Angeles,Los Angeles County,727081.0,959079.0
13,96007,6089011500,136,90026,CA,Los Angeles,Los Angeles County,727081.0,959079.0
14,96007,6089012303,136,90026,CA,Los Angeles,Los Angeles County,727081.0,959079.0
15,96007,6089012604,136,90026,CA,Los Angeles,Los Angeles County,727081.0,959079.0
16,96007,6089012302,136,90026,CA,Los Angeles,Los Angeles County,727081.0,959079.0
17,96007,6089012301,136,90026,CA,Los Angeles,Los Angeles County,727081.0,959079.0
18,96007,6089012000,136,90026,CA,Los Angeles,Los Angeles County,727081.0,959079.0
19,96007,6103000100,136,90026,CA,Los Angeles,Los Angeles County,727081.0,959079.0
20,96007,6089012400,136,90026,CA,Los Angeles,Los Angeles County,727081.0,959079.0
21,96007,6089012102,136,90026,CA,Los Angeles,Los Angeles County,727081.0,959079.0
22,96007,6089012101,136,90026,CA,Los Angeles,Los Angeles County,727081.0,959079.0
23,97431,41039001700,142,93722,CA,Fresno,Fresno County,209250.0,266359.0
24,97431,41039001600,142,93722,CA,Fresno,Fresno County,209250.0,266359.0
25,98304,53041971800,165,95608,CA,Carmichael,Sacramento County,342437.0,426838.0
26,98304,53053073200,165,95608,CA,Carmichael,Sacramento County,342437.0,426838.0
27,96047,6089012400,174,90066,CA,Los Angeles,Los Angeles County,1177364.0,1489834.0
28,96817,15003004800,181,92336,CA,Fontana,San Bernardino County,397292.0,472779.0
29,96817,15003005200,181,92336,CA,Fontana,San Bernardino County,397292.0,472779.0
30,96817,15003004700,181,92336,CA,Fontana,San Bernardino County,397292.0,472779.0
31,96817,15003005900,181,92336,CA,Fontana,San Bernardino County,397292.0,472779.0
32,96817,15003005400,181,92336,CA,Fontana,San Bernardino County,397292.0,472779.0
33,96817,15003005300,181,92336,CA,Fontana,San Bernardino County,397292.0,472779.0
34,96817,15003004000,181,92336,CA,Fontana,San Bernardino County,397292.0,472779.0
