,zip,city,county,12/31/2015,12/31/2019
0,90011,Los Angeles,Los Angeles,323676.0,448867.0
1,91331,Pacoima,Los Angeles,390027.0,503475.0
2,90650,Norwalk,Los Angeles,406253.0,499980.0
3,90201,Bell,Los Angeles,359982.0,461723.0
4,90044,Los Angeles,Los Angeles,338753.0,469508.0
5,92335,Fontana,San Bernardino,281348.0,367032.0
6,92336,Fontana,San Bernardino,397292.0,472779.0
7,94565,Pittsburg,Contra Costa,503225.0,606525.0
8,90250,Hawthorne,Los Angeles,517432.0,672395.0
9,90805,Long Beach,Los Angeles,378323.0,491348.0
10,92503,Riverside,Riverside,332061.0,417939.0
11,90280,South Gate,Los Angeles,364019.0,465866.0
12,91342,Sylmar,Los Angeles,431915.0,542752.0
13,91710,Chino,San Bernardino,429532.0,510041.0
14,92683,Westminster,Orange,593557.0,708542.0
15,92804,Anaheim,Orange,507940.0,613544.0
16,92154,San Diego,San Diego,381149.0,480405.0
17,92704,Santa Ana,Orange,474958.0,587100.0
18,95076,Watsonville,Santa Cruz,495756.0,619390.0
19,93307,Bakersfield,Kern,151030.0,190662.0
20,92376,Rialto,San Bernardino,273792.0,357758.0
21,91744,La Puente,Los Angeles,395894.0,485998.0
22,92592,Temecula,Riverside,419483.0,501187.0
23,94112,San Francisco,San Francisco,939970.0,1162274.0
24,93033,Oxnard,Ventura,430655.0,523988.0
25,93722,Fresno,Fresno,209250.0,266359.0
26,93727,Fresno,Fresno,220905.0,281089.0
27,91911,Chula Vista,San Diego,388833.0,485912.0
28,92126,San Diego,San Diego,487590.0,614146.0
29,92345,Hesperia,San Bernardino,204769.0,273519.0
30,91335,Reseda,Los Angeles,452267.0,570255.0
31,92509,Riverside,Riverside,319478.0,412301.0
32,91709,Chino Hills,San Bernardino,590090.0,689533.0
33,94544,Hayward,Alameda,517364.0,666759.0
34,95035,Milpitas,Santa Clara,855520.0,1073804.0
35,95823,Sacramento,Sacramento,220513.0,303443.0
36,95630,Folsom,Sacramento,472339.0,580734.0
37,93550,Palmdale,Los Angeles,208583.0,295130.0
38,90706,Bellflower,Los Angeles,427351.0,531578.0
39,91706,Baldwin Park,Los Angeles,383870.0,473975.0
40,93257,Porterville,Tulare,163706.0,209682.0
41,92553,Moreno Valley,Riverside,247298.0,330426.0
42,94533,Fairfield,Solano,312193.0,410691.0
43,90255,Huntington Park,Los Angeles,353307.0,456279.0
44,91910,Chula Vista,San Diego,427141.0,528984.0
45,94536,Fremont,Alameda,838496.0,1058874.0
46,94587,Union City,Alameda,730133.0,929811.0
47,92805,Anaheim,Orange,475103.0,578967.0
48,93535,Lancaster,Los Angeles,192381.0,277418.0
49,93274,Tulare,Tulare,180676.0,222899.0
50,90003,Los Angeles,Los Angeles,307782.0,430013.0
51,92105,San Diego,San Diego,345600.0,456032.0
52,92882,Corona,Riverside,430548.0,516625.0
53,91730,Rancho Cucamonga,San Bernardino,378662.0,457516.0
54,94110,San Francisco,San Francisco,1439791.0,1611352.0
55,91766,Pomona,Los Angeles,363284.0,448266.0
56,93306,Bakersfield,Kern,187565.0,221176.0
57,91402,Panorama City,Los Angeles,383086.0,502650.0
58,93065,Simi Valley,Ventura,521033.0,602031.0
59,90262,Lynwood,Los Angeles,351270.0,455651.0
60,93536,Lancaster,Los Angeles,283619.0,372221.0
61,92021,El Cajon,San Diego,411618.0,503851.0
62,92880,Corona,Riverside,504925.0,595782.0
63,92563,Murrieta,Riverside,376759.0,456018.0
64,92703,Santa Ana,Orange,444235.0,557603.0
65,90631,La Habra,Orange,533074.0,626121.0
66,95687,Vacaville,Solano,361802.0,447303.0
67,90026,Los Angeles,Los Angeles,727081.0,959079.0
68,92114,San Diego,San Diego,362303.0,468025.0
69,95123,San Jose,Santa Clara,789959.0,979979.0
70,92407,San Bernardino,San Bernardino,268645.0,346917.0
71,94558,Napa,Napa,613468.0,714863.0
72,94509,Antioch,Contra Costa,364766.0,516163.0
73,90037,Los Angeles,Los Angeles,365993.0,519575.0
74,93230,Hanford,Kings,197730.0,246667.0
75,94080,South San Francisco,San Mateo,847811.0,1088150.0
76,94538,Fremont,Alameda,783588.0,986645.0
77,90022,Los Angeles,Los Angeles,380823.0,484917.0
78,95747,Roseville,Placer,420254.0,514161.0
79,91343,North Hills,Los Angeles,488874.0,618974.0
80,92801,Anaheim,Orange,475517.0,577442.0
81,92677,Laguna Niguel,Orange,796492.0,883441.0
82,95127,San Jose,Santa Clara,645561.0,810427.0
83,95624,Elk Grove,Sacramento,357866.0,455936.0
84,94541,Hayward,Alameda,518668.0,661047.0
85,95758,Elk Grove,Sacramento,325797.0,421784.0
86,92201,Indio,Riverside,240658.0,304333.0
87,94015,Daly City,San Mateo,855602.0,1086727.0
88,95020,Gilroy,Santa Clara,678459.0,791919.0
89,91977,Spring Valley,San Diego,386247.0,480554.0
90,90019,Los Angeles,Los Angeles,899261.0,1146685.0
91,93906,Salinas,Monterey,384501.0,474790.0
92,92115,San Diego,San Diego,436254.0,555705.0
93,94513,Brentwood,Contra Costa,558988.0,688370.0
94,94806,San Pablo,Contra Costa,363010.0,491558.0
95,92562,Murrieta,Riverside,375315.0,454315.0
96,95206,Stockton,San Joaquin,203262.0,299130.0
97,92346,Highland,San Bernardino,292043.0,362113.0
98,94501,Alameda,Alameda,860008.0,1063497.0
99,90042,Los Angeles,Los Angeles,616826.0,802084.0
100,92627,Costa Mesa,Orange,765961.0,891785.0
101,90660,Pico Rivera,Los Angeles,403242.0,500871.0
102,92404,San Bernardino,San Bernardino,222626.0,301139.0
103,91732,El Monte,Los Angeles,425832.0,506911.0
104,91950,National City,San Diego,336933.0,439836.0
105,90640,Montebello,Los Angeles,451269.0,555863.0
106,91770,Rosemead,Los Angeles,509625.0,617651.0
107,95608,Carmichael,Sacramento,342437.0,426838.0
