,ZIP,CensusTract,RegionName,State,City,2015-12,2019-12
0,96107,6051000102,90250,CA,Los Angeles-Long Beach-Anaheim,1211.0,1647.0
1,96027,6093000800,90046,CA,Los Angeles-Long Beach-Anaheim,2158.0,2534.0
2,96027,6093000600,90046,CA,Los Angeles-Long Beach-Anaheim,2158.0,2534.0
3,97711,41031960100,94501,CA,San Francisco,2080.0,2343.0
4,96015,6049000300,90034,CA,Los Angeles-Long Beach-Anaheim,1875.0,2341.0
5,98325,53031950300,95630,CA,Sacramento,1686.0,2045.0
6,98325,53031950500,95630,CA,Sacramento,1686.0,2045.0
7,98325,53031950400,95630,CA,Sacramento,1686.0,2045.0
8,96007,6089012603,90026,CA,Los Angeles-Long Beach-Anaheim,2097.0,2501.0
9,96007,6089012200,90026,CA,Los Angeles-Long Beach-Anaheim,2097.0,2501.0
10,96007,6089011900,90026,CA,Los Angeles-Long Beach-Anaheim,2097.0,2501.0
11,96007,6089011500,90026,CA,Los Angeles-Long Beach-Anaheim,2097.0,2501.0
12,96007,6089012303,90026,CA,Los Angeles-Long Beach-Anaheim,2097.0,2501.0
13,96007,6089012604,90026,CA,Los Angeles-Long Beach-Anaheim,2097.0,2501.0
14,96007,6089012302,90026,CA,Los Angeles-Long Beach-Anaheim,2097.0,2501.0
15,96007,6089012301,90026,CA,Los Angeles-Long Beach-Anaheim,2097.0,2501.0
16,96007,6089012000,90026,CA,Los Angeles-Long Beach-Anaheim,2097.0,2501.0
17,96007,6103000100,90026,CA,Los Angeles-Long Beach-Anaheim,2097.0,2501.0
18,96007,6089012400,90026,CA,Los Angeles-Long Beach-Anaheim,2097.0,2501.0
19,96007,6089012102,90026,CA,Los Angeles-Long Beach-Anaheim,2097.0,2501.0
20,96007,6089012101,90026,CA,Los Angeles-Long Beach-Anaheim,2097.0,2501.0
21,98304,53041971800,95608,CA,Sacramento,1096.0,1515.0
22,98304,53053073200,95608,CA,Sacramento,1096.0,1515.0
23,96047,6089012400,90066,CA,Los Angeles-Long Beach-Anaheim,2203.0,2585.0
24,96817,15003004800,92336,CA,Riverside,2012.0,2370.0
25,96817,15003005200,92336,CA,Riverside,2012.0,2370.0
26,96817,15003004700,92336,CA,Riverside,2012.0,2370.0
27,96817,15003005900,92336,CA,Riverside,2012.0,2370.0
28,96817,15003005400,92336,CA,Riverside,2012.0,2370.0
29,96817,15003005300,92336,CA,Riverside,2012.0,2370.0
30,96817,15003004000,92336,CA,Riverside,2012.0,2370.0
31,96817,15003005500,92336,CA,Riverside,2012.0,2370.0
32,96817,15003004300,92336,CA,Riverside,2012.0,2370.0
33,96817,15003005700,92336,CA,Riverside,2012.0,2370.0
34,96817,15003004900,92336,CA,Riverside,2012.0,2370.0
35,96817,15003004200,92336,CA,Riverside,2012.0,2370.0
36,96817,15003004600,92336,CA,Riverside,2012.0,2370.0
37,96817,15003005600,92336,CA,Riverside,2012.0,2370.0
38,96817,15003005800,92336,CA,Riverside,2012.0,2370.0
39,96817,15003003900,92336,CA,Riverside,2012.0,2370.0
40,96817,15003005100,92336,CA,Riverside,2012.0,2370.0
41,96817,15003004500,92336,CA,Riverside,2012.0,2370.0
42,96817,15003005000,92336,CA,Riverside,2012.0,2370.0
43,96825,15003000112,92345,CA,Riverside,1081.0,1369.0
44,96825,15003000106,92345,CA,Riverside,1081.0,1369.0
45,96825,15003000108,92345,CA,Riverside,1081.0,1369.0
46,96825,15003000200,92345,CA,Riverside,1081.0,1369.0
47,96825,15003000107,92345,CA,Riverside,1081.0,1369.0
48,96825,15003000114,92345,CA,Riverside,1081.0,1369.0
49,96825,15003000110,92345,CA,Riverside,1081.0,1369.0
50,96825,15003980000,92345,CA,Riverside,1081.0,1369.0
51,96825,15003000111,92345,CA,Riverside,1081.0,1369.0
52,98411,53053062600,95747,CA,Sacramento,1822.0,2143.0
53,97023,41005024100,92804,CA,Los Angeles-Long Beach-Anaheim,1558.0,1840.0
54,97023,41005980000,92804,CA,Los Angeles-Long Beach-Anaheim,1558.0,1840.0
55,97023,41005023100,92804,CA,Los Angeles-Long Beach-Anaheim,1558.0,1840.0
56,97023,41005023600,92804,CA,Los Angeles-Long Beach-Anaheim,1558.0,1840.0
57,97023,41005023500,92804,CA,Los Angeles-Long Beach-Anaheim,1558.0,1840.0
58,97023,41005024302,92804,CA,Los Angeles-Long Beach-Anaheim,1558.0,1840.0
59,97023,41005024200,92804,CA,Los Angeles-Long Beach-Anaheim,1558.0,1840.0
60,96006,6049000200,90025,CA,Los Angeles-Long Beach-Anaheim,2416.0,2870.0
61,96008,6089011801,90027,CA,Los Angeles-Long Beach-Anaheim,1829.0,2173.0
