,ZIP,State,City,CountyName,12/31/2015,12/31/2019,4/30/2022
13,94109,CA,San Francisco,San Francisco County,1197337.0,1243968.0,1267952.0
21,90250,CA,Hawthorne,Los Angeles County,517432.0,672395.0,885199.0
39,94565,CA,Pittsburg,Contra Costa County,503225.0,606525.0,825960.0
43,90046,CA,Los Angeles,Los Angeles County,1267039.0,1474294.0,1768788.0
87,94501,CA,Alameda,Alameda County,860008.0,1063497.0,1441005.0
93,94110,CA,San Francisco,San Francisco County,1439791.0,1611352.0,1697890.0
98,90034,CA,Los Angeles,Los Angeles County,1006847.0,1365873.0,1669363.0
102,95630,CA,Folsom,Sacramento County,472339.0,580734.0,807167.0
111,90805,CA,Long Beach,Los Angeles County,378323.0,491348.0,679717.0
113,90650,CA,Norwalk,Los Angeles County,406253.0,499980.0,689221.0
114,90044,CA,Los Angeles,Los Angeles County,338753.0,469508.0,651260.0
116,92683,CA,Westminster,Orange County,593557.0,708542.0,996610.0
127,91709,CA,Chino Hills,San Bernardino County,590090.0,689533.0,946615.0
134,94558,CA,Napa,Napa County,613468.0,714863.0,941515.0
135,90026,CA,Los Angeles,Los Angeles County,727081.0,959079.0,1214980.0
138,91910,CA,Chula Vista,San Diego County,427141.0,528984.0,809831.0
141,93722,CA,Fresno,Fresno County,209250.0,266359.0,383899.0
153,94533,CA,Fairfield,Solano County,312193.0,410691.0,566607.0
163,95608,CA,Carmichael,Sacramento County,342437.0,426838.0,604482.0
167,92677,CA,Laguna Niguel,Orange County,796492.0,883441.0,1329441.0
172,90066,CA,Los Angeles,Los Angeles County,1177364.0,1489834.0,1803152.0
179,92336,CA,Fontana,San Bernardino County,397292.0,472779.0,692327.0
187,95823,CA,Sacramento,Sacramento County,220513.0,303443.0,456129.0
188,92345,CA,Hesperia,San Bernardino County,204769.0,273519.0,411572.0
196,95747,CA,Roseville,Placer County,420254.0,514161.0,723268.0
199,92804,CA,Anaheim,Orange County,507940.0,613544.0,886172.0
202,92126,CA,San Diego,San Diego County,487590.0,614146.0,968114.0
208,92503,CA,Riverside,Riverside County,332061.0,417939.0,623471.0
209,91911,CA,Chula Vista,San Diego County,388833.0,485912.0,744784.0
219,92101,CA,San Diego,San Diego County,562421.0,620347.0,809225.0
220,90019,CA,Los Angeles,Los Angeles County,899261.0,1146685.0,1463261.0
229,94536,CA,Fremont,Alameda County,838496.0,1058874.0,1552999.0
235,92592,CA,Temecula,Riverside County,419483.0,501187.0,772977.0
241,90280,CA,South Gate,Los Angeles County,364019.0,465866.0,613596.0
248,90201,CA,Bell,Los Angeles County,359982.0,461723.0,612206.0
249,91730,CA,Rancho Cucamonga,San Bernardino County,378662.0,457516.0,654503.0
253,90004,CA,Los Angeles,Los Angeles County,1070228.0,1328261.0,1650873.0
255,92109,CA,San Diego,San Diego County,811294.0,1009045.0,1453160.0
269,91342,CA,Los Angeles,Los Angeles County,431915.0,542752.0,757114.0
270,90706,CA,Bellflower,Los Angeles County,427351.0,531578.0,717882.0
271,92335,CA,Fontana,San Bernardino County,281348.0,367032.0,536384.0
272,95123,CA,San Jose,Santa Clara County,789959.0,979979.0,1464851.0
273,92021,CA,El Cajon,San Diego County,411618.0,503851.0,767825.0
279,93065,CA,Simi Valley,Ventura County,521033.0,602031.0,848487.0
289,92627,CA,Costa Mesa,Orange County,765961.0,891785.0,1264227.0
296,90025,CA,Los Angeles,Los Angeles County,853070.0,1041515.0,1202887.0
304,95035,CA,Milpitas,Santa Clara County,855520.0,1073804.0,1509947.0
305,91710,CA,Chino,San Bernardino County,429532.0,510041.0,727312.0
306,90011,CA,Los Angeles,Los Angeles County,323676.0,448867.0,590998.0
312,94544,CA,Hayward,Alameda County,517364.0,666759.0,948861.0
331,90027,CA,Los Angeles,Los Angeles County,1237525.0,1500968.0,1919562.0
336,93727,CA,Fresno,Fresno County,220905.0,281089.0,404246.0
337,94568,CA,Dublin,Alameda County,863196.0,993664.0,1492272.0
339,95051,CA,Santa Clara,Santa Clara County,1113426.0,1406927.0,1925811.0
340,91335,CA,Los Angeles,Los Angeles County,452267.0,570255.0,814095.0
341,95687,CA,Vacaville,Solano County,361802.0,447303.0,611781.0
345,90731,CA,Los Angeles,Los Angeles County,508082.0,626286.0,839092.0
356,93550,CA,Palmdale,Los Angeles County,208583.0,295130.0,436526.0
358,93536,CA,Lancaster,Los Angeles County,283619.0,372221.0,541024.0
369,92630,CA,Lake Forest,Orange County,651185.0,738537.0,1084847.0
373,94509,CA,Antioch,Contra Costa County,364766.0,516163.0,690950.0
376,95758,CA,Elk Grove,Sacramento County,325797.0,421784.0,626788.0
377,93306,CA,Bakersfield,Kern County,187565.0,221176.0,318586.0
384,93307,CA,Bakersfield,Kern County,151030.0,190662.0,278889.0
387,93535,CA,Lancaster,Los Angeles County,192381.0,277418.0,424866.0
389,94122,CA,San Francisco,San Francisco County,1236094.0,1498653.0,1830039.0
393,93274,CA,Tulare,Tulare County,180676.0,222899.0,321605.0
407,93257,CA,Porterville,Tulare County,163706.0,209682.0,292191.0
414,93230,CA,Hanford,Kings County,197730.0,246667.0,347476.0
431,93309,CA,Bakersfield,Kern County,191226.0,224082.0,323330.0
439,94541,CA,Hayward,Alameda County,518668.0,661047.0,915420.0
440,94538,CA,Fremont,Alameda County,783588.0,986645.0,1445609.0
441,95076,CA,Watsonville,Santa Cruz County,495756.0,619390.0,888502.0
445,90802,CA,Long Beach,Los Angeles County,314448.0,416052.0,525521.0
451,94513,CA,Brentwood,Contra Costa County,558988.0,688370.0,985721.0
458,90631,CA,La Habra,Orange County,533074.0,626121.0,890479.0
461,92104,CA,San Diego,San Diego County,520751.0,634489.0,943690.0
467,92647,CA,Huntington Beach,Orange County,687865.0,790639.0,1122733.0
476,92154,CA,San Diego,San Diego County,381149.0,480405.0,737438.0
483,92618,CA,Irvine,Orange County,875908.0,956689.0,1334071.0
486,92115,CA,San Diego,San Diego County,436254.0,555705.0,852834.0
491,95355,CA,Modesto,Stanislaus County,272299.0,350317.0,496566.0
500,94587,CA,Union City,Alameda County,730133.0,929811.0,1461392.0
506,95670,CA,Rancho Cordova,Sacramento County,277671.0,363448.0,514013.0
510,92646,CA,Huntington Beach,Orange County,773404.0,905387.0,1315567.0
518,92620,CA,Irvine,Orange County,894682.0,999529.0,1421179.0
534,95014,CA,Cupertino,Santa Clara County,1930489.0,2245303.0,3164529.0
539,92376,CA,Rialto,San Bernardino County,273792.0,357758.0,526824.0
541,95112,CA,San Jose,Santa Clara County,684082.0,903414.0,1157575.0
552,94080,CA,South San Francisco,San Mateo County,847811.0,1088150.0,1387884.0
553,92648,CA,Huntington Beach,Orange County,925965.0,1057027.0,1457154.0
554,92130,CA,San Diego,San Diego County,1045281.0,1251830.0,1992930.0
557,92105,CA,San Diego,San Diego County,345600.0,456032.0,709560.0
563,92122,CA,San Diego,San Diego County,606278.0,775816.0,1149458.0
573,95648,CA,Lincoln,Placer County,403896.0,504012.0,696560.0
581,92563,CA,Murrieta,Riverside County,376759.0,456018.0,709725.0
588,90036,CA,Los Angeles,Los Angeles County,1451959.0,1820609.0,2136159.0
589,94112,CA,San Francisco,San Francisco County,939970.0,1162274.0,1381654.0
597,94087,CA,Sunnyvale,Santa Clara County,1714497.0,2020248.0,2862844.0
603,95125,CA,San Jose,Santa Clara County,1135909.0,1375477.0,1925533.0
605,90640,CA,Montebello,Los Angeles County,451269.0,555863.0,725195.0
621,92562,CA,Murrieta,Riverside County,375315.0,454315.0,696127.0
641,92117,CA,San Diego,San Diego County,559812.0,704751.0,1061490.0
646,94086,CA,Sunnyvale,Santa Clara County,1249375.0,1578241.0,2102163.0
652,94806,CA,San Pablo,Contra Costa County,363010.0,491558.0,663144.0
658,92128,CA,San Diego,San Diego County,548419.0,653516.0,1008677.0
662,94591,CA,Vallejo,Solano County,375169.0,476659.0,664997.0
663,91801,CA,Alhambra,Los Angeles County,552344.0,676395.0,869379.0
668,91331,CA,Los Angeles,Los Angeles County,390027.0,503475.0,706604.0
681,92805,CA,Anaheim,Orange County,475103.0,578967.0,835628.0
684,90042,CA,Los Angeles,Los Angeles County,616826.0,802084.0,1124365.0
690,92020,CA,El Cajon,San Diego County,454209.0,551969.0,834447.0
691,94553,CA,Martinez,Contra Costa County,504938.0,606992.0,819100.0
692,92201,CA,Indio,Riverside County,240658.0,304333.0,475402.0
696,94015,CA,Daly City,San Mateo County,855602.0,1086727.0,1362555.0
699,92399,CA,Yucaipa,San Bernardino County,318036.0,388576.0,551602.0
700,92882,CA,Corona,Riverside County,430548.0,516625.0,771625.0
739,93308,CA,Oildale,Kern County,188641.0,222827.0,322062.0
740,95008,CA,Campbell,Santa Clara County,1117647.0,1356345.0,1922757.0
747,92656,CA,Aliso Viejo,Orange County,553454.0,631761.0,920879.0
748,92056,CA,Oceanside,San Diego County,451030.0,551119.0,854690.0
756,92704,CA,Santa Ana,Orange County,474958.0,587100.0,822712.0
761,92071,CA,Santee,San Diego County,426715.0,519237.0,803400.0
764,92626,CA,Costa Mesa,Orange County,734589.0,852529.0,1263078.0
774,95350,CA,Modesto,Stanislaus County,222692.0,303156.0,437179.0
776,95624,CA,Elk Grove,Sacramento County,357866.0,455936.0,679373.0
786,92509,CA,Riverside,Riverside County,319478.0,412301.0,612406.0
791,92024,CA,Encinitas,San Diego County,940388.0,1178881.0,1836963.0
792,92553,CA,Moreno Valley,Riverside County,247298.0,330426.0,513586.0
809,92880,CA,Eastvale,Riverside County,504925.0,595782.0,911992.0
811,92253,CA,La Quinta,Riverside County,436676.0,480099.0,754863.0
812,90006,CA,Los Angeles,Los Angeles County,550447.0,719178.0,851599.0
829,92223,CA,Beaumont,Riverside County,287041.0,356220.0,546893.0
840,95020,CA,Gilroy,Santa Clara County,678459.0,791919.0,1132557.0
856,90255,CA,Huntington Park,Los Angeles County,353307.0,456279.0,603639.0
858,90028,CA,Los Angeles,Los Angeles County,781511.0,892149.0,1033407.0
861,94115,CA,San Francisco,San Francisco County,1629299.0,1713716.0,1847180.0
862,92234,CA,Cathedral City,Riverside County,261762.0,329379.0,509427.0
863,93003,CA,Ventura,Ventura County,519318.0,609509.0,892751.0
866,91786,CA,Upland,San Bernardino County,405111.0,485392.0,689044.0
890,93312,CA,Bakersfield,Kern County,276818.0,306203.0,435974.0
904,90024,CA,Los Angeles,Los Angeles County,1191941.0,1398240.0,1600608.0
909,92057,CA,Oceanside,San Diego County,421688.0,520030.0,798252.0
959,92708,CA,Fountain Valley,Orange County,724080.0,846803.0,1223698.0
962,93063,CA,Simi Valley,Ventura County,523794.0,603318.0,851571.0
965,92103,CA,San Diego,San Diego County,660317.0,764919.0,1087499.0
977,93277,CA,Visalia,Tulare County,199047.0,240275.0,350786.0
1000,93720,CA,Fresno,Fresno County,286321.0,349449.0,480897.0
1001,91402,CA,Los Angeles,Los Angeles County,383086.0,502650.0,693470.0
1010,94117,CA,San Francisco,San Francisco County,1575852.0,1735258.0,1866609.0
1021,91977,CA,Spring Valley,San Diego County,386247.0,480554.0,747947.0
1024,92507,CA,Riverside,Riverside County,315034.0,401055.0,598930.0
1032,92037,CA,San Diego,San Diego County,1461228.0,1720089.0,2453885.0
1033,91367,CA,Los Angeles,Los Angeles County,672205.0,803635.0,1124068.0
1036,94102,CA,San Francisco,San Francisco County,921287.0,949724.0,952085.0
1038,92346,CA,Highland,San Bernardino County,292043.0,362113.0,527542.0
1041,95207,CA,Stockton,San Joaquin County,209568.0,294579.0,435564.0
1045,95831,CA,Sacramento,Sacramento County,382658.0,482107.0,682468.0
1047,96003,CA,Redding,Shasta County,,310696.0,415916.0
1051,93436,CA,Lompoc,Santa Barbara County,304477.0,368330.0,536926.0
1056,94121,CA,San Francisco,San Francisco County,1467111.0,1750692.0,2027968.0
1066,95828,CA,Florin,Sacramento County,238474.0,323424.0,482412.0
1067,95616,CA,Davis,Yolo County,609569.0,704881.0,916081.0
1068,91406,CA,Los Angeles,Los Angeles County,499139.0,626416.0,889071.0
1069,93291,CA,Visalia,Tulare County,232975.0,277466.0,401472.0
1074,90049,CA,Los Angeles,Los Angeles County,2475163.0,2766849.0,3350413.0
1078,91766,CA,Pomona,Los Angeles County,363284.0,448266.0,633614.0
1081,91706,CA,Baldwin Park,Los Angeles County,383870.0,473975.0,648819.0
1084,92260,CA,Palm Desert,Riverside County,342950.0,386901.0,606305.0
1087,90020,CA,Los Angeles,Los Angeles County,549416.0,676080.0,768688.0
1093,91744,CA,La Puente,Los Angeles County,395894.0,485998.0,672348.0
1110,92801,CA,Anaheim,Orange County,475517.0,577442.0,844085.0
1119,90277,CA,Redondo Beach,Los Angeles County,1059587.0,1288912.0,1633357.0
1123,92780,CA,Tustin,Orange County,612078.0,704248.0,1000329.0
1124,94611,CA,Oakland,Alameda County,1152964.0,1376724.0,1870968.0
1125,92407,CA,San Bernardino,San Bernardino County,268645.0,346917.0,512037.0
1126,92404,CA,San Bernardino,San Bernardino County,222626.0,301139.0,452797.0
1142,91762,CA,Ontario,San Bernardino County,358595.0,453015.0,654022.0
1153,95628,CA,Fair Oaks,Sacramento County,373786.0,464538.0,651897.0
1154,95060,CA,Santa Cruz,Santa Cruz County,855580.0,1017397.0,1559882.0
1159,94550,CA,Livermore,Alameda County,777554.0,892130.0,1350990.0
1176,91405,CA,Los Angeles,Los Angeles County,471803.0,608283.0,849543.0
1186,92078,CA,San Marcos,San Diego County,551675.0,653330.0,1018752.0
1187,95610,CA,Citrus Heights,Sacramento County,288957.0,379599.0,541181.0
1188,92324,CA,Colton,San Bernardino County,242889.0,322904.0,471166.0
1189,90813,CA,Long Beach,Los Angeles County,325726.0,441803.0,606699.0
1201,91761,CA,Ontario,San Bernardino County,381061.0,463785.0,674133.0
1203,90803,CA,Long Beach,Los Angeles County,873525.0,1010313.0,1327801.0
1205,90503,CA,Torrance,Los Angeles County,777635.0,921604.0,1241340.0
1212,94577,CA,San Leandro,Alameda County,550036.0,687736.0,960977.0
1220,92026,CA,Escondido,San Diego County,437872.0,529108.0,816325.0
1222,91601,CA,Los Angeles,Los Angeles County,600238.0,765501.0,1004371.0
1242,95206,CA,Stockton,San Joaquin County,203262.0,299130.0,450441.0
1246,94118,CA,San Francisco,San Francisco County,2038947.0,2268783.0,2538612.0
1248,94546,CA,Castro Valley,Alameda County,676342.0,825885.0,1241719.0
1249,91702,CA,Azusa,Los Angeles County,393922.0,481616.0,661363.0
1260,95678,CA,Roseville,Placer County,322904.0,410166.0,576059.0
1261,92692,CA,Mission Viejo,Orange County,684082.0,756863.0,1122575.0
1273,94403,CA,San Mateo,San Mateo County,1324491.0,1590570.0,2020562.0
1279,95621,CA,Citrus Heights,Sacramento County,250670.0,339936.0,486689.0
1291,92114,CA,San Diego,San Diego County,362303.0,468025.0,724092.0
1307,90005,CA,Los Angeles,Los Angeles County,726702.0,885112.0,1025494.0
1309,90047,CA,Los Angeles,Los Angeles County,372538.0,530823.0,738790.0
1313,91770,CA,Rosemead,Los Angeles County,509625.0,617651.0,799673.0
1317,91343,CA,Los Angeles,Los Angeles County,488874.0,618974.0,892597.0
1318,90247,CA,Gardena,Los Angeles County,427777.0,548858.0,733548.0
1320,90003,CA,Los Angeles,Los Angeles County,307782.0,430013.0,563578.0
1321,93906,CA,Salinas,Monterey County,384501.0,474790.0,674741.0
1328,90630,CA,Cypress,Orange County,608380.0,706352.0,1015888.0
1346,93446,CA,Paso Robles,San Luis Obispo County,437885.0,518139.0,721605.0
1348,90016,CA,Los Angeles,Los Angeles County,547161.0,827637.0,1106911.0
1353,91942,CA,La Mesa,San Diego County,429939.0,532934.0,833355.0
1368,90018,CA,Los Angeles,Los Angeles County,528887.0,791517.0,998785.0
1372,90043,CA,Los Angeles,Los Angeles County,496153.0,709671.0,990547.0
1375,92028,CA,Fallbrook,San Diego County,501532.0,592527.0,890726.0
1378,92129,CA,San Diego,San Diego County,683840.0,818323.0,1364472.0
