,zip,full address,store_name,latitude,longitude
0,90275,"31176 Hawthorne Blvd, Rancho Palos Verdes, CA, 90275",Trader Joe's Rancho Palos Verdes (233),33.7493322,-118.40668494744764
2,94087,"316 West El Camino Real, Sunnyvale, CA, 94087",Trader Joe's Sunnyvale (68),37.3679656,-122.0358812
3,92883,"2790 Cabot Dr, Corona, CA, 92883",Trader Joe's Corona (213),33.812926193997924,-117.50516419213984
4,94530,"225 El Cerrito Plaza, El Cerrito, CA, 94530",Trader Joe's El Cerrito (108),37.8988539,-122.2995747
5,91105,"610 S Arroyo Pkwy, Pasadena, CA, 91105",Trader Joe's Pasadena (51),34.134916,-118.14723
6,94103,"10 4th Street, San Francisco, CA, 94103",Trader Joe's San Francisco - Pacific Place (225),37.785398,-122.4056288
9,92688,"30652 Santa Margarita Pkwy, Rancho Santa Margarita, CA, 92688",Trader Joe's Rancho Santa Margarita (27),33.64245595,-117.59544669240523
11,95110,"635 Coleman Ave, San Jose, CA, 95110",Trader Joe's San Jose - Coleman Ave (212),37.3410206,-121.909507
13,90803,"6451 E Pacific Coast  Hwy, Long Beach, CA, 90803",Trader Joe's Long Beach - PCH (43),,
15,95628,"5309 Sunrise Blvd, Fair Oaks, CA, 95628",Trader Joe's Fair Oaks (71),38.66254885660255,-121.27228041873785
16,90069,"8611 Santa Monica Blvd, West Hollywood, CA, 90069",Trader Joe's West Hollywood (173),34.0880565,-118.3796094
23,91502,"214 E Alameda Ave, Burbank, CA, 91502",Trader Joe's Burbank (124),34.17489169462839,-118.29923565274402
26,94103,"555 9th St, San Francisco, CA, 94103",Trader Joe's San Francisco - 9th St (78),37.7709988,-122.4077368
27,92506,"6225 Riverside Plaza, Riverside, CA, 92506",Trader Joe's Riverside (15),33.9541367,-117.3906958
29,94080,"301 MC Lellan Dr, South San Francisco, CA, 94080",Trader Joe's South San Francisco (187),,
31,94015,"417 Westlake Center, Daly City, CA, 94015",Trader Joe's Daly City (74),37.699608299999994,-122.48246291885597
33,94703,"1885 University Ave, Berkeley, CA, 94703",Trader Joe's Berkeley (186),37.871641318181815,-122.27346922727273
37,94030,"765 Broadway, Millbrae, CA, 94030",Trader Joe's Millbrae (170),37.6038042,-122.3959012
38,93465,"1111 Rossi Road, Templeton, CA, 93465",Trader Joe's Templeton (211),35.54195745,-120.71515047628318
42,93105,"3025 De La Vina St, Santa Barbara, CA, 93105",Trader Joe's Santa Barbara (183),34.439024,-119.729096
44,94550,"1122 A East Stanley Blvd, Livermore, CA, 94550",Trader Joe's Livermore (208),37.6789754,-121.7802638
45,91350,"26517 Bouquet Canyon Rd, Santa Clarita, CA, 91350",Trader Joe's Valencia (13),34.4284056,-118.5381487
46,90815,"2222 North Bellflower Blvd, Long Beach, CA, 90815",Trader Joe's Long Beach - Bellflower Blvd (194),33.79676481632654,-118.12521165306123
47,94596,"1372 S California Blvd, Walnut Creek, CA, 94596",Trader Joe's Walnut Creek (123),37.893581,-122.061334
49,93420,"955 Rancho Pkwy, Arroyo Grande, CA, 93420",Trader Joe's Arroyo Grande (117),35.12569125,-120.59405279942382
50,90028,"1600 N Vine St, Los Angeles, CA, 90028",Trader Joe's Hollywood (206),34.0997926,-118.3266892
51,94904,"2052 Redwood Hwy, Greenbrae, CA, 94904",Trader Joe's Larkspur (235),37.94123071584993,-122.5151887799617
