"B25077_001E","B25077_001M","GEO_ID","NAME"
"Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","id","Geographic Area Name"
"1197900","68223","1400000US06001400100","Census Tract 4001, Alameda County, California"
"1385400","191210","1400000US06001400200","Census Tract 4002, Alameda County, California"
"1053200","121286","1400000US06001400300","Census Tract 4003, Alameda County, California"
"1111600","117913","1400000US06001400400","Census Tract 4004, Alameda County, California"
"813800","105558","1400000US06001400500","Census Tract 4005, Alameda County, California"
"825700","60029","1400000US06001400600","Census Tract 4006, Alameda County, California"
"702500","46950","1400000US06001400700","Census Tract 4007, Alameda County, California"
"697000","47483","1400000US06001400800","Census Tract 4008, Alameda County, California"
"774700","77036","1400000US06001400900","Census Tract 4009, Alameda County, California"
"728800","92237","1400000US06001401000","Census Tract 4010, Alameda County, California"
"889800","238072","1400000US06001401100","Census Tract 4011, Alameda County, California"
"873800","51212","1400000US06001401200","Census Tract 4012, Alameda County, California"
"783100","60488","1400000US06001401300","Census Tract 4013, Alameda County, California"
"546700","78952","1400000US06001401400","Census Tract 4014, Alameda County, California"
"561200","52653","1400000US06001401500","Census Tract 4015, Alameda County, California"
"577100","57717","1400000US06001401600","Census Tract 4016, Alameda County, California"
"585400","37148","1400000US06001401700","Census Tract 4017, Alameda County, California"
"552300","139815","1400000US06001401800","Census Tract 4018, Alameda County, California"
"684100","90905","1400000US06001402200","Census Tract 4022, Alameda County, California"
"610800","80220","1400000US06001402400","Census Tract 4024, Alameda County, California"
"720000","154977","1400000US06001402500","Census Tract 4025, Alameda County, California"
"557400","81709","1400000US06001402600","Census Tract 4026, Alameda County, California"
"673400","81058","1400000US06001402700","Census Tract 4027, Alameda County, California"
"791200","132199","1400000US06001402800","Census Tract 4028, Alameda County, California"
"-","**","1400000US06001402900","Census Tract 4029, Alameda County, California"
"455400","41499","1400000US06001403000","Census Tract 4030, Alameda County, California"
"608200","31037","1400000US06001403100","Census Tract 4031, Alameda County, California"
"503200","136627","1400000US06001403300","Census Tract 4033, Alameda County, California"
"593200","223340","1400000US06001403400","Census Tract 4034, Alameda County, California"
"664100","283918","1400000US06001403501","Census Tract 4035.01, Alameda County, California"
"464500","76087","1400000US06001403502","Census Tract 4035.02, Alameda County, California"
"549000","98056","1400000US06001403600","Census Tract 4036, Alameda County, California"
"425900","111304","1400000US06001403701","Census Tract 4037.01, Alameda County, California"
"724700","141106","1400000US06001403702","Census Tract 4037.02, Alameda County, California"
"1052700","79714","1400000US06001403800","Census Tract 4038, Alameda County, California"
"664700","135197","1400000US06001403900","Census Tract 4039, Alameda County, California"
"629600","54542","1400000US06001404000","Census Tract 4040, Alameda County, California"
"801500","75549","1400000US06001404101","Census Tract 4041.01, Alameda County, California"
"682700","112146","1400000US06001404102","Census Tract 4041.02, Alameda County, California"
"1220500","69631","1400000US06001404200","Census Tract 4042, Alameda County, California"
"1567400","98457","1400000US06001404300","Census Tract 4043, Alameda County, California"
"995000","64801","1400000US06001404400","Census Tract 4044, Alameda County, California"
"1242200","129705","1400000US06001404501","Census Tract 4045.01, Alameda County, California"
"1001200","68633","1400000US06001404502","Census Tract 4045.02, Alameda County, California"
"1008300","49700","1400000US06001404600","Census Tract 4046, Alameda County, California"
"1044200","59586","1400000US06001404700","Census Tract 4047, Alameda County, California"
"870300","56861","1400000US06001404800","Census Tract 4048, Alameda County, California"
"880200","43376","1400000US06001404900","Census Tract 4049, Alameda County, California"
"1037200","54415","1400000US06001405000","Census Tract 4050, Alameda County, California"
"1358800","108613","1400000US06001405100","Census Tract 4051, Alameda County, California"
"888900","116014","1400000US06001405200","Census Tract 4052, Alameda County, California"
"682000","118944","1400000US06001405301","Census Tract 4053.01, Alameda County, California"
"585900","307057","1400000US06001405302","Census Tract 4053.02, Alameda County, California"
"498800","131722","1400000US06001405401","Census Tract 4054.01, Alameda County, California"
"573700","199697","1400000US06001405402","Census Tract 4054.02, Alameda County, California"
"687900","73997","1400000US06001405500","Census Tract 4055, Alameda County, California"
"563200","71013","1400000US06001405600","Census Tract 4056, Alameda County, California"
"484900","43460","1400000US06001405700","Census Tract 4057, Alameda County, California"
"463300","64447","1400000US06001405800","Census Tract 4058, Alameda County, California"
"434000","56097","1400000US06001405901","Census Tract 4059.01, Alameda County, California"
"533900","48398","1400000US06001405902","Census Tract 4059.02, Alameda County, California"
"571400","84140","1400000US06001406000","Census Tract 4060, Alameda County, California"
"565500","69931","1400000US06001406100","Census Tract 4061, Alameda County, California"
"531500","151645","1400000US06001406201","Census Tract 4062.01, Alameda County, California"
"538000","106779","1400000US06001406202","Census Tract 4062.02, Alameda County, California"
"453500","56442","1400000US06001406300","Census Tract 4063, Alameda County, California"
"594700","60889","1400000US06001406400","Census Tract 4064, Alameda County, California"
"468800","49458","1400000US06001406500","Census Tract 4065, Alameda County, California"
"481200","33582","1400000US06001406601","Census Tract 4066.01, Alameda County, California"
"562900","43475","1400000US06001406602","Census Tract 4066.02, Alameda County, California"
"834200","59975","1400000US06001406700","Census Tract 4067, Alameda County, California"
"819500","39889","1400000US06001406800","Census Tract 4068, Alameda County, California"
"769200","58095","1400000US06001406900","Census Tract 4069, Alameda County, California"
"534800","57130","1400000US06001407000","Census Tract 4070, Alameda County, California"
"448100","27318","1400000US06001407101","Census Tract 4071.01, Alameda County, California"
"530400","52203","1400000US06001407102","Census Tract 4071.02, Alameda County, California"
"426000","54098","1400000US06001407200","Census Tract 4072, Alameda County, California"
"301500","76404","1400000US06001407300","Census Tract 4073, Alameda County, California"
"489600","123887","1400000US06001407400","Census Tract 4074, Alameda County, California"
"411100","89055","1400000US06001407500","Census Tract 4075, Alameda County, California"
"501000","73988","1400000US06001407600","Census Tract 4076, Alameda County, California"
"597200","21424","1400000US06001407700","Census Tract 4077, Alameda County, California"
"591900","25301","1400000US06001407800","Census Tract 4078, Alameda County, California"
"729500","45935","1400000US06001407900","Census Tract 4079, Alameda County, California"
"958400","46737","1400000US06001408000","Census Tract 4080, Alameda County, California"
"870900","48321","1400000US06001408100","Census Tract 4081, Alameda County, California"
"590200","39656","1400000US06001408200","Census Tract 4082, Alameda County, California"
"609200","27414","1400000US06001408300","Census Tract 4083, Alameda County, California"
"360000","164074","1400000US06001408400","Census Tract 4084, Alameda County, California"
"348600","24482","1400000US06001408500","Census Tract 4085, Alameda County, California"
"394200","35486","1400000US06001408600","Census Tract 4086, Alameda County, California"
"413800","49351","1400000US06001408700","Census Tract 4087, Alameda County, California"
"385200","60854","1400000US06001408800","Census Tract 4088, Alameda County, California"
"351500","55081","1400000US06001408900","Census Tract 4089, Alameda County, California"
"330600","50095","1400000US06001409000","Census Tract 4090, Alameda County, California"
"360100","31921","1400000US06001409100","Census Tract 4091, Alameda County, California"
"404000","45376","1400000US06001409200","Census Tract 4092, Alameda County, California"
"351400","26692","1400000US06001409300","Census Tract 4093, Alameda County, California"
"417800","57602","1400000US06001409400","Census Tract 4094, Alameda County, California"
"351200","38585","1400000US06001409500","Census Tract 4095, Alameda County, California"
"353300","33164","1400000US06001409600","Census Tract 4096, Alameda County, California"
"360600","29124","1400000US06001409700","Census Tract 4097, Alameda County, California"
"612200","31357","1400000US06001409800","Census Tract 4098, Alameda County, California"
"780900","53133","1400000US06001409900","Census Tract 4099, Alameda County, California"
"709100","46797","1400000US06001410000","Census Tract 4100, Alameda County, California"
"493300","28026","1400000US06001410100","Census Tract 4101, Alameda County, California"
"349200","34300","1400000US06001410200","Census Tract 4102, Alameda County, California"
"366400","66053","1400000US06001410300","Census Tract 4103, Alameda County, California"
"389400","33241","1400000US06001410400","Census Tract 4104, Alameda County, California"
"750000","134520","1400000US06001410500","Census Tract 4105, Alameda County, California"
"1028900","47127","1400000US06001420100","Census Tract 4201, Alameda County, California"
