,Estimate_Median_value_(dollars),Margin_of_Error_Median_value_(dollars),CensusTract,Geographic_Area_Name
1,1098000,58982,6001400100,"Census Tract 4001, Alameda County, California"
2,895300,40466,6001400200,"Census Tract 4002, Alameda County, California"
3,856600,66477,6001400300,"Census Tract 4003, Alameda County, California"
4,817700,47958,6001400400,"Census Tract 4004, Alameda County, California"
5,611300,89714,6001400500,"Census Tract 4005, Alameda County, California"
6,466700,63749,6001400600,"Census Tract 4006, Alameda County, California"
7,572300,39652,6001400700,"Census Tract 4007, Alameda County, California"
8,458700,38787,6001400800,"Census Tract 4008, Alameda County, California"
9,483300,147019,6001400900,"Census Tract 4009, Alameda County, California"
10,358100,66978,6001401000,"Census Tract 4010, Alameda County, California"
11,582000,100033,6001401100,"Census Tract 4011, Alameda County, California"
12,608500,40507,6001401200,"Census Tract 4012, Alameda County, California"
13,506900,82974,6001401300,"Census Tract 4013, Alameda County, California"
14,333700,34597,6001401400,"Census Tract 4014, Alameda County, California"
15,341800,56352,6001401500,"Census Tract 4015, Alameda County, California"
16,333300,39099,6001401600,"Census Tract 4016, Alameda County, California"
17,368400,26315,6001401700,"Census Tract 4017, Alameda County, California"
18,355900,128145,6001401800,"Census Tract 4018, Alameda County, California"
19,384100,73347,6001402200,"Census Tract 4022, Alameda County, California"
20,408100,69822,6001402400,"Census Tract 4024, Alameda County, California"
21,279300,50977,6001402500,"Census Tract 4025, Alameda County, California"
22,318300,49060,6001402600,"Census Tract 4026, Alameda County, California"
23,364300,83243,6001402700,"Census Tract 4027, Alameda County, California"
24,517600,185088,6001402800,"Census Tract 4028, Alameda County, California"
26,344700,26935,6001403000,"Census Tract 4030, Alameda County, California"
27,386000,27065,6001403100,"Census Tract 4031, Alameda County, California"
28,338300,21880,6001403300,"Census Tract 4033, Alameda County, California"
29,410900,63481,6001403400,"Census Tract 4034, Alameda County, California"
30,413000,148739,6001403501,"Census Tract 4035.01, Alameda County, California"
31,358100,34464,6001403502,"Census Tract 4035.02, Alameda County, California"
32,357400,42360,6001403600,"Census Tract 4036, Alameda County, California"
33,281800,95169,6001403701,"Census Tract 4037.01, Alameda County, California"
34,376700,39590,6001403702,"Census Tract 4037.02, Alameda County, California"
35,750000,62684,6001403800,"Census Tract 4038, Alameda County, California"
36,356500,45960,6001403900,"Census Tract 4039, Alameda County, California"
37,397600,65059,6001404000,"Census Tract 4040, Alameda County, California"
38,564000,72974,6001404101,"Census Tract 4041.01, Alameda County, California"
39,468800,126806,6001404102,"Census Tract 4041.02, Alameda County, California"
40,1005400,68381,6001404200,"Census Tract 4042, Alameda County, California"
41,1082500,83408,6001404300,"Census Tract 4043, Alameda County, California"
42,804600,62688,6001404400,"Census Tract 4044, Alameda County, California"
43,965200,49765,6001404501,"Census Tract 4045.01, Alameda County, California"
44,736900,46415,6001404502,"Census Tract 4045.02, Alameda County, California"
45,822800,26059,6001404600,"Census Tract 4046, Alameda County, California"
46,855900,36989,6001404700,"Census Tract 4047, Alameda County, California"
47,658800,45221,6001404800,"Census Tract 4048, Alameda County, California"
48,609400,38184,6001404900,"Census Tract 4049, Alameda County, California"
49,666600,31371,6001405000,"Census Tract 4050, Alameda County, California"
50,995600,60859,6001405100,"Census Tract 4051, Alameda County, California"
51,690800,89510,6001405200,"Census Tract 4052, Alameda County, California"
52,553300,97782,6001405301,"Census Tract 4053.01, Alameda County, California"
53,345800,129513,6001405302,"Census Tract 4053.02, Alameda County, California"
54,428400,103617,6001405401,"Census Tract 4054.01, Alameda County, California"
55,311800,78025,6001405402,"Census Tract 4054.02, Alameda County, California"
56,297200,79977,6001405500,"Census Tract 4055, Alameda County, California"
57,364600,125179,6001405600,"Census Tract 4056, Alameda County, California"
58,369800,47391,6001405700,"Census Tract 4057, Alameda County, California"
59,272700,50281,6001405800,"Census Tract 4058, Alameda County, California"
60,323000,41673,6001405901,"Census Tract 4059.01, Alameda County, California"
61,289200,37766,6001405902,"Census Tract 4059.02, Alameda County, California"
62,386700,45669,6001406000,"Census Tract 4060, Alameda County, California"
63,279700,15641,6001406100,"Census Tract 4061, Alameda County, California"
64,240000,83468,6001406201,"Census Tract 4062.01, Alameda County, California"
65,298100,60420,6001406202,"Census Tract 4062.02, Alameda County, California"
66,281300,45262,6001406300,"Census Tract 4063, Alameda County, California"
67,372700,70749,6001406400,"Census Tract 4064, Alameda County, California"
68,282200,18458,6001406500,"Census Tract 4065, Alameda County, California"
69,339600,37549,6001406601,"Census Tract 4066.01, Alameda County, California"
70,394100,68027,6001406602,"Census Tract 4066.02, Alameda County, California"
71,505600,47420,6001406700,"Census Tract 4067, Alameda County, California"
72,606500,30843,6001406800,"Census Tract 4068, Alameda County, California"
73,555200,43999,6001406900,"Census Tract 4069, Alameda County, California"
74,327800,36007,6001407000,"Census Tract 4070, Alameda County, California"
75,271700,58120,6001407101,"Census Tract 4071.01, Alameda County, California"
76,307000,61741,6001407102,"Census Tract 4071.02, Alameda County, California"
77,263400,42493,6001407200,"Census Tract 4072, Alameda County, California"
78,238100,50811,6001407300,"Census Tract 4073, Alameda County, California"
79,256000,60913,6001407400,"Census Tract 4074, Alameda County, California"
80,234100,85073,6001407500,"Census Tract 4075, Alameda County, California"
81,289600,32316,6001407600,"Census Tract 4076, Alameda County, California"
82,383200,17886,6001407700,"Census Tract 4077, Alameda County, California"
83,380500,30324,6001407800,"Census Tract 4078, Alameda County, California"
84,484700,36786,6001407900,"Census Tract 4079, Alameda County, California"
85,686100,40760,6001408000,"Census Tract 4080, Alameda County, California"
86,622800,68591,6001408100,"Census Tract 4081, Alameda County, California"
87,345600,70249,6001408200,"Census Tract 4082, Alameda County, California"
88,373300,31713,6001408300,"Census Tract 4083, Alameda County, California"
89,146400,30449,6001408400,"Census Tract 4084, Alameda County, California"
90,240800,77862,6001408500,"Census Tract 4085, Alameda County, California"
91,225000,20248,6001408600,"Census Tract 4086, Alameda County, California"
92,235800,37641,6001408700,"Census Tract 4087, Alameda County, California"
93,128800,41106,6001408800,"Census Tract 4088, Alameda County, California"
94,202700,79403,6001408900,"Census Tract 4089, Alameda County, California"
95,173200,64171,6001409000,"Census Tract 4090, Alameda County, California"
96,193900,22259,6001409100,"Census Tract 4091, Alameda County, California"
97,172900,33395,6001409200,"Census Tract 4092, Alameda County, California"
98,193900,46199,6001409300,"Census Tract 4093, Alameda County, California"
99,289900,38397,6001409400,"Census Tract 4094, Alameda County, California"
100,222200,16516,6001409500,"Census Tract 4095, Alameda County, California"
101,216100,28099,6001409600,"Census Tract 4096, Alameda County, California"
102,204300,21528,6001409700,"Census Tract 4097, Alameda County, California"
103,409000,43474,6001409800,"Census Tract 4098, Alameda County, California"
104,586500,33825,6001409900,"Census Tract 4099, Alameda County, California"
105,552300,38202,6001410000,"Census Tract 4100, Alameda County, California"
106,297900,32366,6001410100,"Census Tract 4101, Alameda County, California"
107,235300,26485,6001410200,"Census Tract 4102, Alameda County, California"
108,171800,65483,6001410300,"Census Tract 4103, Alameda County, California"
109,245400,20915,6001410400,"Census Tract 4104, Alameda County, California"
110,570900,67059,6001410500,"Census Tract 4105, Alameda County, California"
111,806800,40047,6001420100,"Census Tract 4201, Alameda County, California"
112,714600,79795,6001420200,"Census Tract 4202, Alameda County, California"
113,552300,63366,6001420300,"Census Tract 4203, Alameda County, California"
115,607600,37910,6001420500,"Census Tract 4205, Alameda County, California"
116,761600,70260,6001420600,"Census Tract 4206, Alameda County, California"
117,910200,36764,6001421100,"Census Tract 4211, Alameda County, California"
118,990000,48784,6001421200,"Census Tract 4212, Alameda County, California"
119,836000,41096,6001421300,"Census Tract 4213, Alameda County, California"
120,964100,45566,6001421400,"Census Tract 4214, Alameda County, California"
121,908000,39734,6001421500,"Census Tract 4215, Alameda County, California"
122,934900,49595,6001421600,"Census Tract 4216, Alameda County, California"
123,745000,99653,6001421700,"Census Tract 4217, Alameda County, California"
124,777200,38467,6001421800,"Census Tract 4218, Alameda County, California"
125,607200,27319,6001421900,"Census Tract 4219, Alameda County, California"
126,551700,85840,6001422000,"Census Tract 4220, Alameda County, California"
127,599900,57811,6001422100,"Census Tract 4221, Alameda County, California"
128,599300,31839,6001422200,"Census Tract 4222, Alameda County, California"
129,688400,53548,6001422300,"Census Tract 4223, Alameda County, California"
130,731300,248664,6001422400,"Census Tract 4224, Alameda County, California"
131,796400,173263,6001422500,"Census Tract 4225, Alameda County, California"
133,907600,319776,6001422700,"Census Tract 4227, Alameda County, California"
134,635400,490317,6001422800,"Census Tract 4228, Alameda County, California"
136,610400,47432,6001423000,"Census Tract 4230, Alameda County, California"
137,584100,34744,6001423100,"Census Tract 4231, Alameda County, California"
138,648700,37252,6001423200,"Census Tract 4232, Alameda County, California"
139,567000,34703,6001423300,"Census Tract 4233, Alameda County, California"
140,571200,72699,6001423400,"Census Tract 4234, Alameda County, California"
141,646100,69085,6001423500,"Census Tract 4235, Alameda County, California"
142,661800,84670,6001423601,"Census Tract 4236.01, Alameda County, California"
143,665800,164134,6001423602,"Census Tract 4236.02, Alameda County, California"
144,1046100,87448,6001423700,"Census Tract 4237, Alameda County, California"
145,1207900,117451,6001423800,"Census Tract 4238, Alameda County, California"
146,639300,45009,6001423901,"Census Tract 4239.01, Alameda County, California"
147,814700,109864,6001423902,"Census Tract 4239.02, Alameda County, California"
148,636900,55973,6001424001,"Census Tract 4240.01, Alameda County, California"
149,389800,53256,6001424002,"Census Tract 4240.02, Alameda County, California"
150,231100,17979,6001425101,"Census Tract 4251.01, Alameda County, California"
151,384100,54331,6001425102,"Census Tract 4251.02, Alameda County, California"
152,412000,65458,6001425103,"Census Tract 4251.03, Alameda County, California"
153,365200,54348,6001425104,"Census Tract 4251.04, Alameda County, California"
154,1643100,207996,6001426100,"Census Tract 4261, Alameda County, California"
155,1262800,105329,6001426200,"Census Tract 4262, Alameda County, California"
156,790400,40523,6001427100,"Census Tract 4271, Alameda County, California"
157,557700,56458,6001427200,"Census Tract 4272, Alameda County, California"
158,595500,27140,6001427300,"Census Tract 4273, Alameda County, California"
159,388200,97063,6001427600,"Census Tract 4276, Alameda County, California"
160,601200,22994,6001427700,"Census Tract 4277, Alameda County, California"
161,724200,143459,6001427800,"Census Tract 4278, Alameda County, California"
162,692400,149245,6001427900,"Census Tract 4279, Alameda County, California"
163,493400,86656,6001428000,"Census Tract 4280, Alameda County, California"
164,676500,40415,6001428100,"Census Tract 4281, Alameda County, California"
165,648900,29525,6001428200,"Census Tract 4282, Alameda County, California"
166,576700,26600,6001428301,"Census Tract 4283.01, Alameda County, California"
167,797800,43649,6001428302,"Census Tract 4283.02, Alameda County, California"
168,481400,82449,6001428400,"Census Tract 4284, Alameda County, California"
169,654300,115688,6001428500,"Census Tract 4285, Alameda County, California"
170,501000,104889,6001428600,"Census Tract 4286, Alameda County, California"
