RegionID,RegionName,SizeRank,MsaName,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03
61639,10025,1,"New York, NY",2989,2911,2998,3023,3013,3016,3068,3093,3074,3108,3102,3146,3162,3153,3150,3149,3170,3192,3203,3205,3214,3219,3204,3202,3225,3210,3233,3232,3236,3257,3194,3236,3269,3231,3208,3193,3199,3182,3144,3193,3259,3263,3270,3279,3248,3211,3196,3232,3184,3179,3165,3220,3257,3266,3283,3279,3264,3263,3260,3280,3289,3274,3278,3290,3313,3350,3372,3397,3389,3326,3351,3335,3349,3370,3321,3330,3288,3222,3164,3053,2933,2888,2855,2824,2844,2832,2897,2965,3045,3119,3206,3281,3306,3367,3407,3450,3479,3574,3619
84654,60657,2,"Chicago, IL",1383,1415,1414,1423,1437,1472,1473,1474,1461,1450,1446,1448,1447,1458,1452,1479,1504,1523,1530,1539,1511,1498,1492,1499,1490,1505,1527,1544,1560,1573,1580,1583,1570,1546,1530,1528,1542,1562,1581,1587,1596,1606,1612,1602,1590,1572,1563,1554,1566,1580,1594,1608,1620,1628,1626,1607,1599,1570,1553,1548,1578,1591,1610,1632,1644,1653,1662,1645,1645,1622,1612,1600,1635,1651,1661,1663,1658,1650,1640,1632,1595,1561,1557,1566,1582,1597,1602,1608,1626,1632,1637,1657,1654,1648,1663,1669,1704,1709,1739
61637,10023,3,"New York, NY",3298,3317,3360,3350,3369,3432,3421,3428,3427,3405,3474,3428,3409,3433,3469,3435,3454,3483,3481,3507,3517,3521,3520,3495,3467,3504,3522,3527,3540,3535,3362,3435,3470,3502,3443,3441,3421,3473,3480,3539,3535,3555,3553,3532,3505,3497,3475,3438,3459,3476,3499,3527,3554,3552,3524,3547,3560,3543,3511,3483,3479,3494,3511,3561,3589,3625,3636,3628,3636,3561,3512,3541,3588,3616,3628,3603,3553,3502,3425,3278,3235,3149,3054,3012,3034,3078,3114,3191,3257,3362,3470,3558,3685,3786,3781,3864,3913,3947,4001
91982,77494,4,"Houston, TX",1416,1479,1486,1494,1468,1456,1460,1454,1451,1430,1429,1422,1428,1421,1426,1434,1437,1445,1451,1462,1444,1431,1426,1410,1405,1398,1400,1398,1396,1403,1396,1394,1383,1372,1345,1343,1350,1362,1367,1383,1385,1390,1380,1370,1382,1393,1399,1405,1415,1416,1410,1414,1414,1418,1416,1411,1396,1403,1405,1409,1411,1412,1419,1423,1423,1431,1435,1448,1427,1435,1433,1441,1434,1439,1438,1446,1433,1435,1444,1447,1459,1452,1469,1468,1462,1461,1466,1495,1524,1589,1633,1655,1659,1683,1706,1700,1690,1705,1697
84616,60614,5,"Chicago, IL",1629,1654,1665,1677,1698,1714,1734,1732,1713,1703,1707,1679,1679,1692,1679,1727,1758,1786,1798,1808,1793,1791,1759,1737,1769,1791,1800,1814,1848,1869,1870,1869,1859,1814,1795,1789,1787,1823,1842,1871,1885,1888,1887,1891,1881,1846,1831,1830,1840,1870,1898,1895,1913,1921,1919,1910,1889,1851,1839,1849,1881,1904,1916,1939,1961,1962,1961,1962,1956,1938,1916,1933,1927,1951,1973,1998,1992,1975,1964,1939,1897,1848,1780,1756,1790,1846,1889,1943,1967,1984,1988,2026,1998,2012,2027,2013,2042,2060,2124
91940,77449,6,"Houston, TX",1169,1165,1167,1160,1168,1181,1192,1202,1198,1201,1211,1214,1201,1203,1207,1218,1220,1234,1243,1246,1245,1246,1246,1245,1237,1238,1248,1251,1256,1248,1246,1250,1247,1249,1242,1233,1231,1236,1242,1245,1247,1245,1255,1254,1264,1266,1273,1273,1279,1283,1286,1293,1297,1303,1309,1310,1302,1304,1311,1300,1293,1299,1303,1307,1315,1318,1323,1320,1321,1319,1317,1315,1324,1323,1337,1342,1322,1339,1345,1353,1358,1365,1375,1394,1394,1416,1435,1450,1478,1514,1551,1580,1594,1601,1603,1622,1619,1666,1662
61616,10002,7,"New York, NY",2982,2891,2954,2983,3031,3038,3092,3105,3112,3087,3102,3179,3160,3126,3144,3222,3222,3219,3253,3272,3260,3237,3190,3198,3188,3208,3229,3241,3263,3309,3334,3340,3325,3341,3298,3334,3275,3309,3307,3303,3327,3337,3345,3351,3330,3292,3255,3245,3283,3308,3327,3362,3377,3392,3421,3426,3404,3387,3352,3349,3338,3360,3371,3405,3437,3465,3486,3509,3533,3511,3441,3461,3462,3505,3517,3503,3443,3364,3279,3146,3005,2895,2841,2808,2790,2811,2861,2963,3102,3200,3370,3478,3560,3597,3696,3670,3759,3799,3851
91733,77084,8,"Houston, TX",1044,1117,1120,1108,1125,1145,1113,1140,1157,1160,1171,1159,1155,1162,1174,1178,1173,1181,1184,1192,1202,1194,1201,1198,1193,1195,1194,1196,1197,1191,1197,1204,1194,1191,1192,1189,1189,1183,1193,1200,1203,1205,1210,1209,1236,1246,1245,1235,1236,1235,1226,1243,1245,1247,1247,1253,1280,1263,1272,1265,1261,1245,1267,1274,1288,1283,1288,1286,1276,1279,1273,1282,1276,1294,1300,1304,1305,1309,1307,1313,1322,1304,1314,1323,1327,1334,1348,1358,1381,1414,1461,1487,1511,1503,1525,1558,1546,1548,1548
93144,79936,9,"El Paso, TX",1093,1078,1084,1096,1091,1089,1037,1060,1071,1074,1070,1082,1080,1082,1086,1087,1097,1092,1083,1085,1091,1091,1089,1084,1083,1101,1095,1096,1093,1092,1086,1104,1089,1090,1119,1181,1172,1127,1108,1101,1101,1100,1105,1100,1103,1099,1100,1102,1096,1094,1092,1097,1104,1111,1114,1115,1120,1090,1108,1127,1120,1097,1111,1121,1131,1134,1113,1139,1145,1153,1148,1158,1164,1167,1160,1169,1168,1173,1186,1204,1201,1220,1222,1229,1226,1234,1243,1249,1267,1262,1295,1312,1334,1381,1382,1392,1399,1389,1410
84640,60640,10,"Chicago, IL",1239,1252,1240,1237,1246,1253,1261,1269,1263,1258,1253,1268,1258,1259,1240,1264,1281,1298,1318,1328,1325,1312,1313,1319,1316,1306,1314,1332,1335,1348,1360,1374,1371,1363,1343,1347,1337,1342,1364,1371,1383,1392,1393,1392,1384,1375,1369,1362,1364,1368,1391,1400,1404,1416,1415,1409,1430,1409,1409,1403,1404,1410,1417,1430,1434,1444,1454,1451,1455,1438,1436,1430,1429,1448,1434,1440,1453,1452,1435,1437,1426,1404,1415,1403,1394,1373,1387,1402,1416,1438,1435,1449,1454,1499,1469,1470,1483,1490,1511
