,store_name,address,latitude,longitude,zip
0,Whole Foods Market,"711 University Ave, San Diego",32.747879,-117.1580005,92103
1,Whole Foods Market,"8825 Villa La Jolla Dr, La Jolla",32.8687404,-117.2306258,92037
2,Whole Foods Market,"2600 Via De La Valle Ste 100, Del Mar",32.9811507,-117.2519665,92075
3,Whole Foods Market,"44-459 Town Center Way, Palm Desert",33.7253682,-116.3998028,92260
4,Whole Foods Market,"7871 Santa Monica Blvd, West Hollywood",34.0915208,-118.3607656,90046
5,Whole Foods Market,"6350 W 3rd St, Los Angeles",34.0703081,-118.3607133,90036
6,Whole Foods Market,"2153 Base Line Rd, Upland",34.1229416,-117.6925009,91784
7,Whole Foods Market,"23932 Aliso Creek Rd, Laguna Niguel",33.5543089,-117.7125199,92677
8,Whole Foods Market,"2847 Park Ave, Tustin",33.6963604,-117.8255884,92710
9,Whole Foods Market,"2655 Pacific Coast Hwy, Torrance",33.7925761,-118.3309445,90505
10,Whole Foods Market,"8525 Irvine Center Dr, Irvine",33.64630080000001,-117.7443927,92618
11,90014,90014,90014,90014,90014
12,Whole Foods Market,"3301 E Imperial Hwy, Brea",33.9101372,-117.8515073,92870
13,Whole Foods Market,"6400 E Pacific Coast Hwy Ste A-100, Long Beach",33.7573529,-118.1111429,90803
14,Whole Foods Market,"283 Broadway St, Laguna Beach",33.5438792,-117.7838368,92652
15,Whole Foods Market,"2520 Glendale Blvd, Los Angeles",34.1028814,-118.2584344,90039
16,Whole Foods Market,"7881 Edinger Ave Ste 150, Huntington Beach",33.7312057,-117.9905196,92647
17,Whole Foods Market,"415 Newport Center Dr, Newport Beach",33.61659,-117.8737656,92660
18,Whole Foods Market,"3881 N Lakewood Blvd Ste A, Long Beach",33.82975570000001,-118.1443602,90846
19,Whole Foods Market,"10081 Adams Ave, Huntington Beach",33.6733542,-117.9525715,92646
20,Whole Foods Market,"3751 E Foothill Blvd, Pasadena",34.1511727,-118.0724354,91105
21,Whole Foods Market,"225 Lincoln Blvd, Venice",34.0011613,-118.4698813,90291
22,Whole Foods Market,"11666 National Blvd, Los Angeles",34.0224904,-118.4379608,90066
23,Whole Foods Market,"465 S Arroyo Pkwy, Pasadena",34.13782339999999,-118.1478342,91105
24,Whole Foods Market,"12746 W Jefferson Blvd, Playa Vista",33.9762684,-118.4179704,90094
25,Whole Foods Market,"760 S Sepulveda Blvd, El Segundo",33.9065817,-118.3928271,90245
26,Whole Foods Market,"2121 Cloverfield Blvd, Santa Monica",34.0221303,-118.4655725,90404
